㐀,廿一,TM
昋,竹大日,HKA
昌,日日,AA
昍,日日,AA
明,日月,AB
昏,竹心日,HPA
昐,日金尸竹,ACSH
昑,日人戈弓,AOIN
昒,日心竹竹,APHH
易,日心竹竹,APHH
昔,廿日,TA
昕,日竹一中,AHML
昖,日金戈,ACI
昗,日卜金,AYC
昘,日卜竹尸,AYHS
昙,日一一戈,AMMI
昚,大金日,KCA
昛,日尸尸,ASS
昜,日一尸竹,AMSH
昝,竹人日,HOA
昞,日一人月,AMOB
星,日竹手一,AHQM
映,日中月大,ALBK
昡,日卜女戈,AYVI
昢,日山山,AUU
昣,日人竹竹,AOHH
昤,日人戈戈,AOII
春,手大日,QKA
昦,日大中中,AKLL
昧,日十木,AJD
昨,日竹尸,AHS
昩,日木十,ADJ
昪,日戈廿,AIT
昫,日心口,APR
昬,難口心日,XRPA
昭,日尸竹口,ASHR
昮,日一大尸,AMKS
是,日一卜人,AMYO
昰,日一卜一,AMYM
昱,日卜廿,AYT
昲,日中中弓,ALLN
昳,日竹手人,AHQO
昴,日竹竹中,AHHL
昵,日尸心,ASP
昶,戈水日,IEA
昷,日月廿,ABT
昸,日竹水卜,AHEY
昹,日戈弓水,AINE
昺,日一人月,AMOB
昻,日一尸中,AMSL
昼,尸人日一,SOAM
昽,日戈大心,AIKP
显,日廿金,ATC
昿,日戈戈,AII
晀,難日中一人,XALMO
晁,日中一人,ALMO
時,日土木戈,AGDI
晃,日火一山,AFMU
晄,日火一山,AFMU
晅,日一日一,AMAM
晆,日土土,AGG
晇,日大一尸,AKMS
晈,日卜金大,AYCK
晉,一戈戈日,MIIA
晊,日一戈土,AMIG
晋,一金日,MCA
晌,日竹月口,AHBR
晍,日月一口,ABMR
晎,難日廿金,XATC
晏,日十女,AJV
晐,日卜女人,AYVO
晑,日竹月口,AHBR
晒,日一金田,AMCW
晓,日心竹山,APHU
晔,日人心十,AOPJ
晕,日月大手,ABKQ
晖,難日月大手,XABKQ
晗,日人戈口,AOIR
晘,日日一十,AAMJ
晙,日戈金水,AICE
晚,日弓日山,ANAU
晛,日月山山,ABUU
晜,日金弓竹,ACNH
晝,中土日一,LGAM
晞,日大大月,AKKB
晟,日戈竹尸,AIHS
晠,難日戈竹尸,XAIHS
晡,日戈十月,AIJB
晢,手中日,QLA
晣,日手竹中,AQHL
晤,日一一口,AMMR
晥,日十一山,AJMU
晦,日人田卜,AOWY
晧,日竹土口,AHGR
晨,日一一女,AMMV
晩,難難日弓日,XXANA
晪,日廿月金,ATBC
晫,日卜日十,AYAJ
晬,日卜人十,AYOJ
晭,日月土口,ABGR
普,廿金日,TCA
景,日卜口火,AYRF
晰,日木竹中,ADHL
晱,日火火,AFF
晲,日竹難山,AHXU
晳,木中日,DLA
晴,日手一月,AQMB
晵,難竹大日,XHKA
晶,日日日,AAA
晷,日竹人口,AHOR
晸,日一一大,AMMK
晹,日日心竹,AAPH
智,人口日,ORA
晻,日大中山,AKLU
晼,日十弓山,AJNU
晽,日木木,ADD
晾,日卜口火,AYRF
晿,難日日日,XAAA
暀,日竹人土,AHOG
暁,日十廿山,AJTU
暂,大中日,KLA
暃,日中一卜,ALMY
暄,日十一一,AJMM
暅,日心一一,APMM
暆,日卜尸木,AYSD
暇,日口卜水,ARYE
暈,日月十十,ABJJ
暉,日月十十,ABJJ
暊,日一月金,AMBC
暋,口大日,RKA
暌,日弓人大,ANOK
暍,日日心女,AAPV
暎,日廿中大,ATLK
暏,難日十大日,XAJKA
暐,日木一手,ADMQ
暑,日十大日,AJKA
暒,日日竹一,AAHM
暓,弓大日,NKA
暔,日十月十,AJBJ
暕,日木田火,ADWF
暖,日月一水,ABME
暗,日卜廿日,AYTA
暘,日日一竹,AAMH
暙,日手大日,AQKA
暚,日月人山,ABOU
暛,日廿手一,ATQM
暜,卜廿日,YTA
暝,日月日金,ABAC
暞,日竹山木,AHUD
暟,日山一廿,AUMT
暠,日卜口月,AYRB
暡,日金戈一,ACIM
暢,中中日一竹,LLAMH
暣,日人弓木,AOND
暤,日竹日十,AHAJ
暥,日日十女,AAJV
暦,一木木日,MDDA
暧,難日月月水,XABBE
暨,日山日一,AUAM
暩,日月人火,ABOF
暪,日廿中月,ATLB
暫,十中日,JLA
暬,土戈日,GIA
暭,日竹日十,AHAJ
暮,廿日大日,TAKA
暯,日廿日大,ATAK
暰,日竹人人,AHOO
暱,日尸廿口,ASTR
暲,日卜廿十,AYTJ
暳,日手十一,AQJM
暴,日廿金水,ATCE
暵,日廿中人,ATLO
暶,日卜尸人,AYSO
暷,日十戈戈,AJII
暸,日大金火,AKCF
暹,卜日人土,YAOG
暺,日口口十,ARRJ
暻,日日卜火,AAYF
暼,火大日,FKA
暽,日火木手,AFDQ
暾,日卜木大,AYDK
暿,日土口口,AGRR
曀,日土月廿,AGBT
曁,竹山日一,HUAM
曂,日廿中金,ATLC
曃,日卜中水,AYLE
曄,日廿一十,ATMJ
曅,難日廿一十,XATMJ
曆,一木日,MDA
曇,日一月戈,AMBI
曈,日卜廿土,AYTG
曉,日土土山,AGGU
曊,日中弓金,ALNC
曋,日一田十,AMWJ
曌,日月十金一,ABJCM
曍,日竹山十,AHUJ
曎,日田中十,AWLJ
曏,日女竹中,AVHL
曐,難日日日一,XAAAM
曑,日日日竹,AAAH
曒,日竹尸大,AHSK
曓,日山山十,AUUJ
曔,日廿口大,ATRK
曕,日弓金口,ANCR
曖,日月月水,ABBE
曗,日廿金木,ATCD
曘,日一月月,AMBB
曙,日田中日,AWLA
曚,日廿月人,ATBO
曛,日竹土火,AHGF
曜,日尸一土,ASMG
曝,日日廿水,AATE
曞,日一廿月,AMTB
曟,日日日女,AAAV
曠,日戈廿金,AITC
曡,日日日一,AAAM
曢,日十大火,AJKF
曣,日廿中火,ATLF
曤,日一月土,AMBG
曥,日卜心廿,AYPT
曦,日廿土尸,ATGS
曧,難日一月戈,XAMBI
曨,日卜月心,AYBP
曩,日卜口女,AYRV
曪,日田中土,AWLG
曫,女火日,VFA
曬,日一一心,AMMP
曭,日火月火,AFBF
曮,日口口大,ARRK
曯,日尸水戈,ASEI
曰,日,A
曱,日中,AL
曲,廿田,TW
曳,中田心,LWP
更,一中田大,MLWK
曵,戈中田心,ILWP
曶,心竹日,PHA
曷,日心女人,APVO
書,中土日,LGA
曹,廿田日,TWA
曺,十田日,JWA
曻,日弓戈手,ANIQ
曼,日田中水,AWLE
曽,難金田日,XCWA
曾,金田日,CWA
替,手人日,QOA
最,日尸十水,ASJE
朁,一山日,MUA
朂,日尸十尸,ASJS
會,人一田日,OMWA
朄,中中木田火,LLDWF
朅,土戈日心女,GIAPV
朆,金日心竹竹,CAPHH
朇,人日竹田十,OAHWJ
月,月,B
有,大月,KB
朊,月一一山,BMMU
朋,月月,BB
朌,月金尸竹,BCSH
服,月尸中水,BSLE
朎,月人戈戈,BOII
朏,月山山,BUU
朐,月心口,BPR
朑,月心廿,BPT
朒,月人月人,BOBO
朓,月中一人,BLMO
朔,廿山月,TUB
朕,月廿大,BTK
朖,月戈日女,BIAV
朗,戈戈月,IIB
朘,月戈金水,BICE
朙,田月月,WBB
朚,卜女日月,YVAB
望,卜月竹土,YBHG
朜,月卜口木,BYRD
朝,十十月,JJB
朞,廿金月,TCB
期,廿金月,TCB
朠,月廿中大,BTLK
朡,月山金水,BUCE
朢,尸月竹土,SBHG
朣,月卜廿土,BYTG
朤,月月月月,BBBB
朥,月火火尸,BFFS
朦,月廿月人,BTBO
朧,月卜月心,BYBP
木,木,D
朩,難木金,XDC
未,十木,JD
末,木十,DJ
本,木一,DM
札,木山,DU
朮,戈十金,IJC
术,戈木,ID
朰,難木弓,XDN
朱,竹十木,HJD
朲,木人,DO
朳,木金,DC
朴,木卜,DY
朵,竹弓木,HND
朶,弓尸木,NSD
朷,木尸竹,DSH
朸,木大尸,DKS
朹,木大弓,DKN
机,木竹弓,DHN
朻,木女中,DVL
朼,木心,DP
朽,木一女尸,DMVS
朾,木一弓,DMN
朿,木月,DB
杀,難大木,XKD
杁,難木人,XDO
杂,大弓木,KND
权,木水,DE
杄,木竹十,DHJ
杅,木一木,DMD
杆,木一十,DMJ
杇,木一一尸,DMMS
杈,木水戈,DEI
杉,木竹竹竹,DHHH
杊,木中中中,DLLL
杋,木竹弓戈,DHNI
杌,木一山,DMU
杍,木弓木,DND
李,木弓木,DND
杏,木口,DR
材,木木竹,DDH
村,木木戈,DDI
杒,木尸竹戈,DSHI
杓,木心戈,DPI
杔,木竹心,DHP
杕,木大,DK
杖,木十大,DJK
杗,卜女木,YVD
杘,尸木,SD
杙,木戈心,DIP
杚,木人弓,DON
杛,木弓,DN
杜,木土,DG
杝,木心木,DPD
杞,木尸山,DSU
束,木中,DL
杠,木一,DM
条,竹水木,HED
杢,木一,DM
杣,難木山,XDU
杤,木一尸,DMS
来,木廿,DT
杦,難木弓人,XDNO
杧,木卜女,DYV
杨,木弓尸竹,DNSH
杩,木弓女一,DNVM
杪,木火竹,DFH
杫,木卜中一,DYLM
杬,木一一山,DMMU
杭,木卜竹弓,DYHN
杮,木十月,DJB
杯,木一火,DMF
杰,木火,DF
東,木田,DW
杲,日木,AD
杳,木日,DA
杴,木弓人,DNO
杵,木人十,DOJ
杶,木心山,DPU
杷,木日山,DAU
杸,木竹弓水,DHNE
杹,木人心,DOP
杺,木心,DP
杻,木弓土,DNG
杼,木弓戈弓,DNIN
杽,木手,DQ
松,木金戈,DCI
板,木竹水,DHE
枀,金戈木,CID
极,木弓竹水,DNHE
枂,難木月,XDB
枃,木心戈一,DPIM
构,木心戈,DPI
枅,木一廿,DMT
枆,木竹手山,DHQU
枇,木心心,DPP
枈,心心木,PPD
枉,木一土,DMG
枊,木竹女中,DHVL
枋,木卜竹尸,DYHS
枌,木金尸竹,DCSH
枍,木金一尸,DCMS
枎,木手人,DQO
枏,木月一一,DBMM
析,木竹一中,DHML
枑,木一女一,DMVM
枒,木一女竹,DMVH
枓,木卜十,DYJ
枔,木人戈弓,DOIN
枕,木中月山,DLBU
枖,木竹大,DHK
林,木木,DD
枘,木人月,DOB
枙,木一尸山,DMSU
枚,木人大,DOK
枛,木竹中人,DHLO
果,田木,WD
枝,木十水,DJE
枞,難木人人,XDOO
枟,木一一戈,DMMI
枠,木大弓十,DKNJ
枡,木竹廿,DHT
枢,木尸大,DSK
枣,木月卜,DBY
枤,木戈大,DIK
枥,木一大尸,DMKS
枦,木戈尸,DIS
枧,木月竹山,DBHU
枨,木心人,DPO
枩,難木金戈,XDCI
枪,木人尸山,DOSU
枫,木竹弓大,DHNK
枬,木月卜,DBY
枭,心卜尸木,PYSD
枮,木卜口,DYR
枯,木十口,DJR
枰,木一火十,DMFJ
枱,木戈口,DIR
枲,戈口木,IRD
枳,木口金,DRC
枴,木口尸竹,DRSH
枵,木口一尸,DRMS
架,大口木,KRD
枷,木大尸口,DKSR
枸,木心口,DPR
枹,木心口山,DPRU
枺,木木十,DDJ
枻,木心廿,DPT
枼,心廿木,PTD
枽,難十廿木,XJTD
枾,木手中中,DQLL
枿,木十廿,DJT
柀,木木竹水,DDHE
柁,木十心,DJP
柂,木人心木,DOPD
柃,木人戈戈,DOII
柄,木一人月,DMOB
柅,木尸心,DSP
柆,木卜廿,DYT
柇,木竹木,DHD
柈,木火手,DFQ
柉,木竹戈人,DHIO
柊,木竹水卜,DHEY
柋,人心木,OPD
柌,木尸一口,DSMR
柍,木中月大,DLBK
柎,木人木戈,DODI
柏,木竹日,DHA
某,廿一木,TMD
柑,木廿一,DTM
柒,水心木,EPD
染,水弓木,END
柔,弓竹木,NHD
柕,木弓戈竹,DNIH
柖,木尸竹口,DSHR
柗,木金口,DCR
柘,木一口,DMR
柙,木田中,DWL
柚,木中田,DLW
柛,木中田中,DLWL
柜,木尸尸,DSS
柝,木竹一卜,DHMY
柞,木竹尸,DHS
柟,木土月,DGB
柠,木十一弓,DJMN
柡,木一一水,DMME
柢,木竹心一,DHPM
柣,木竹手人,DHQO
柤,木月一,DBM
查,木日一,DAM
柦,木日一,DAM
柧,木竹女人,DHVO
柨,木大中月,DKLB
柩,木尸弓人,DSNO
柪,木女戈尸,DVIS
柫,木中中弓,DLLN
柬,木田火,DWF
柭,木戈大大,DIKK
柮,木山山,DUU
柯,木一弓口,DMNR
柰,木一一火,DMMF
柱,木卜土,DYG
柲,木心竹,DPH
柳,木竹竹中,DHHL
柴,卜心木,YPD
柵,木月廿,DBT
柶,木田金,DWC
柷,木口竹山,DRHU
柸,木一火一,DMFM
柹,木中難竹,DLXH
柺,木口竹尸,DRHS
査,木月一,DBM
柼,木十金,DJC
柽,木水土,DEG
柾,木一卜一,DMYM
柿,木卜中月,DYLB
栀,木竹一山,DHMU
栁,木弓戈中,DNIL
栂,木田卜戈,DWYI
栃,木竹一尸,DHMS
栄,火月木,FBD
栅,木月月一,DBBM
栆,大中卜,KLY
标,木一一火,DMMF
栈,木戈十,DIJ
栉,木廿尸中,DTSL
栊,木戈大心,DIKP
栋,木大木,DKD
栌,木卜尸,DYS
栍,木竹手一,DHQM
栎,木竹女木,DHVD
栏,木廿一一,DTMM
栐,木戈弓水,DINE
树,木水木戈,DEDI
栒,木心日,DPA
栓,木人一土,DOMG
栔,手竹木,QHD
栕,木尸中中,DSLL
栖,木一金田,DMCW
栗,一田木,MWD
栘,木弓戈弓,DNIN
栙,木竹水手,DHEQ
栚,木廿大,DTK
栛,木大尸尸,DKSS
栜,木木月,DDB
栝,木竹十口,DHJR
栞,竹十木,HJD
栟,木廿廿,DTT
栠,人土木,OGD
校,木卜金大,DYCK
栢,木一日,DMA
栣,木人竹土,DOHG
栤,木戈一水,DIME
栥,戈人木,IOD
栦,木戈中中,DILL
栧,木中田心,DLWP
栨,木戈一人,DIMO
栩,木尸一一,DSMM
株,木竹十木,DHJD
栫,木大中木,DKLD
栬,木弓日山,DNAU
栭,木一月中,DMBL
栮,木尸十,DSJ
栯,木大月,DKB
栰,木人戈,DOI
栱,木廿金,DTC
栲,木十大尸,DJKS
栳,木十大心,DJKP
栴,木人月卜,DOBY
栵,木一弓弓,DMNN
栶,木田大,DWK
样,木廿手,DTQ
核,木卜女人,DYVO
根,木日女,DAV
栺,木心日,DPA
栻,木戈心一,DIPM
格,木竹水口,DHER
栽,十戈木,JID
栾,卜金木,YCD
栿,木人戈大,DOIK
桀,弓手木,NQD
桁,木竹人弓,DHON
桂,木土土,DGG
桃,木中一人,DLMO
桄,木火一山,DFMU
桅,木弓一山,DNMU
框,木尸一土,DSMG
桇,女口木,VRD
案,十女木,JVD
桉,木十女,DJV
桊,火手木,FQD
桋,木大弓,DKN
桌,卜日木,YAD
桍,木大一尸,DKMS
桎,木一戈土,DMIG
桏,木一弓中,DMNL
桐,木月一口,DBMR
桑,水水水木,EEED
桒,十廿木,JTD
桓,木一日一,DMAM
桔,木土口,DGR
桕,木竹難,DHX
桖,木竹月廿,DHBT
桗,木弓尸木,DNSD
桘,木竹口口,DHRR
桙,木戈竹手,DIHQ
桚,木女女弓,DVVN
桛,木卜一卜,DYMY
桜,木火女,DFV
桝,木弓戈手,DNIQ
桞,木弓戈中,DNIL
桟,木戈手,DIQ
桠,木一廿金,DMTC
桡,難木十心山,XDJPU
桢,木卜月人,DYBO
档,木火尸一,DFSM
桤,木山尸山,DUSU
桥,木竹大中,DHKL
桦,木人心十,DOPJ
桧,木人一戈,DOMI
桨,中弓木,LND
桩,木戈土,DIG
桪,難木尸一戈,XDSMI
桫,木水火竹,DEFH
桬,水竹木,EHD
桭,木一一女,DMMV
桮,木一火口,DMFR
桯,木口竹土,DRHG
桰,木竹心口,DHPR
桱,木一女一,DMVM
桲,木十月木,DJBD
桳,木戈大十,DIKJ
桴,木月弓木,DBND
桵,木月女,DBV
桶,木弓戈月,DNIB
桷,木弓月土,DNBG
桸,木大大月,DKKB
桹,木戈日女,DIAV
桺,木一中尸,DMLS
桻,木竹水十,DHEJ
桼,木人水,DOE
桽,木人人土,DOOG
桾,木尸大口,DSKR
桿,木日一十,DAMJ
梀,木木中,DDL
梁,水戈木,EID
梂,木戈十水,DIJE
梃,木弓大土,DNKG
梄,木一金田,DMCW
梅,木人田卜,DOWY
梆,木手十中,DQJL
梇,木一土廿,DMGT
梈,木卜口弓,DYRN
梉,木女一土,DVMG
梊,木中木,DLD
梋,木口月,DRB
梌,木人一木,DOMD
梍,難木竹日心,XDHAP
梎,木竹日心,DHAP
梏,木竹土口,DHGR
梐,木心心土,DPPG
梑,木大竹火,DKHF
梒,木人戈口,DOIR
梓,木卜廿十,DYTJ
梔,木竹一山,DHMU
梕,木尸戈心,DSIP
梖,木月山金,DBUC
梗,木一中大,DMLK
梘,木月山山,DBUU
梙,木中中,DLL
梚,難木弓日山,XDNAU
梛,木尸手中,DSQL
梜,木大人人,DKOO
條,人中人木,OLOD
梞,木尸山心,DSUP
梟,竹日卜木,HAYD
梠,木口竹口,DRHR
梡,木十一山,DJMU
梢,木火月,DFB
梣,木山人弓,DUON
梤,木山金竹,DUCH
梥,十金戈木,JCID
梦,木木弓戈,DDNI
梧,木一一口,DMMR
梨,竹弓木,HND
梩,木田土,DWG
梪,木一口廿,DMRT
梫,木尸一水,DSME
梬,木中田尸,DLWS
梭,木戈金水,DICE
梮,木尸尸口,DSSR
梯,木金弓竹,DCNH
械,木戈廿,DIT
梱,木田木,DWD
梲,木金口山,DCRU
梳,木卜戈山,DYIU
梴,木弓大一,DNKM
梵,木木竹弓戈,DDHNI
梶,木尸竹山,DSHU
梷,卜水木,YED
梸,木竹木弓,DHDN
梹,木人一金,DOMC
梺,木木一卜,DDMY
梻,木人中弓,DOLN
梼,木手大戈,DQKI
梽,木土心,DGP
梾,木木廿,DDT
梿,木卜大手,DYKQ
检,木人一一,DOMM
棁,難木金口山,XDCRU
棂,木尸一火,DSMF
棃,竹竹木,HHD
棄,卜戈廿木,YITD
棅,木竹木中,DHDL
棆,木人一月,DOMB
棇,木金戈心,DCIP
棈,木手一月,DQMB
棉,木竹日月,DHAB
棊,廿金木,TCD
棋,木廿一金,DTMC
棌,木月木,DBD
棍,木日心心,DAPP
棎,木月金木,DBCD
棏,木日一戈,DAMI
棐,中卜木,LYD
棑,木中一卜,DLMY
棒,木手大手,DQKQ
棓,木卜廿口,DYTR
棔,木竹心日,DHPA
棕,木十一火,DJMF
棖,木尸一女,DSMV
棗,木月木月,DBDB
棘,木月木月,DBDB
棙,難木竹尸大,XDHSK
棚,木月月,DBB
棛,木卜戈月,DYIB
棜,木卜尸卜,DYSY
棝,木田十口,DWJR
棞,木田竹木,DWHD
棟,木木田,DDW
棠,火月口木,FBRD
棡,木月廿山,DBTU
棢,木月廿女,DBTV
棣,木中水,DLE
棤,木廿日,DTA
棥,木大大木,DKKD
棦,木月尸木,DBSD
棧,木戈戈,DII
棨,竹大木,HKD
棩,木中難中,DLXL
棪,木火火,DFF
棫,木戈口一,DIRM
棬,木火手山,DFQU
棭,木卜人大,DYOK
森,木木木,DDD
棯,木人戈心,DOIP
棰,木竹十一,DHJM
棱,木土金水,DGCE
棲,木十中女,DJLV
棳,木水水水,DEEE
棴,木月尸水,DBSE
棵,木田木,DWD
棶,木木人人,DDOO
棷,木尸十水,DSJE
棸,尸水木,SED
棹,木卜日十,DYAJ
棺,木十口口,DJRR
棻,廿金尸木,TCSD
棼,木木金尸竹,DDCSH
棽,木木人戈弓,DDOIN
棾,木木月竹弓,DDBHN
棿,木竹難山,DHXU
椀,木十弓山,DJNU
椁,木卜口木,DYRD
椂,木女弓水,DVNE
椃,木卜心山,DYPU
椄,木卜廿女,DYTV
椅,木大一口,DKMR
椆,木月土口,DBGR
椇,木月一金,DBMC
椈,木心火木,DPFD
椉,卜弓手木,YNQD
椊,木卜人十,DYOJ
椋,木卜口火,DYRF
椌,木十金一,DJCM
植,木十月一,DJBM
椎,木人土,DOG
椏,木一中一,DMLM
椐,木尸十口,DSJR
椑,木竹竹十,DHHJ
椒,木卜火水,DYFE
椓,木一尸人,DMSO
椔,木女女田,DVVW
椕,木金竹木,DCHD
椖,木戈尸尸,DISS
椗,木十一人,DJMO
椘,木木戈弓人,DDINO
椙,木日日,DAA
椚,木日弓,DAN
椛,木廿人心,DTOP
検,難木人一人,XDOMO
椝,難手山木,XQUD
椞,木中木,DLD
椟,木十弓大,DJNK
椠,大中木,KLD
椡,木一土弓,DMGN
椢,木田一戈,DWMI
椣,木廿月金,DTBC
椤,木田中弓,DWLN
椥,木人大口,DOKR
椦,木火手尸,DFQS
椧,木人一中,DOML
椨,木戈人戈,DIOI
椩,木戈中人,DILO
椪,木廿廿金,DTTC
椫,木金田十,DCWJ
椬,木十月一,DJBM
椭,難木弓中月,XDNLB
椮,木戈大竹,DIKH
椯,木山一月,DUMB
椰,木尸十中,DSJL
椱,木人日水,DOAE
椲,木木一手,DDMQ
椳,木田一女,DWMV
椴,木竹十水,DHJE
椵,木口卜水,DRYE
椶,木山金水,DUCE
椷,木戈竹口,DIHR
椸,木卜尸木,DYSD
椹,木廿一女,DTMV
椺,木人口木,DORD
椻,木尸日女,DSAV
椼,木竹人弓,DHON
椽,木女弓人,DVNO
椾,木廿月弓,DTBN
椿,木手大日,DQKA
楀,木竹中月,DHLB
楁,木十竹口,DJHR
楂,木木日一,DDAM
楃,木尸一土,DSMG
楄,木竹尸月,DHSB
楅,木一口田,DMRW
楆,木一田女,DMWV
楇,木月月口,DBBR
楈,木弓人月,DNOB
楉,木廿大口,DTKR
楊,木日一竹,DAMH
楋,木木中弓,DDLN
楌,木卜竹竹,DYHH
楍,難木口口口,XDRRR
楎,木月十十,DBJJ
楏,木大土土,DKGG
楐,木田人中,DWOL
楑,木弓人大,DNOK
楒,木田心,DWP
楓,木竹弓戈,DHNI
楔,木手竹大,DQHK
楕,木大一月,DKMB
楖,木日戈中,DAIL
楗,木弓大手,DNKQ
楘,弓大木,NKD
楙,木弓竹木,DNHD
楚,木木弓卜人,DDNYO
楛,木廿十口,DTJR
楜,木十口月,DJRB
楝,木木田火,DDWF
楞,木田中尸,DWLS
楟,木卜口弓,DYRN
楠,木十月十,DJBJ
楡,木人一女,DOMV
楢,木廿金田,DTCW
楣,木日竹山,DAHU
楤,木心大心,DPKP
楥,木月一水,DBME
楦,木十一一,DJMM
楧,木廿中大,DTLK
楨,木卜月金,DYBC
楩,木人一大,DOMK
楪,木心廿木,DPTD
楫,木口尸十,DRSJ
楬,木日心女,DAPV
業,廿金廿木,TCTD
楮,木十大日,DJKA
楯,木竹十山,DHJU
楰,木竹難人,DHXO
楱,木手大大,DQKK
楲,木戈竹女,DIHV
楳,木廿一木,DTMD
楴,木卜月月,DYBB
極,木一水一,DMEM
楶,戈人口木,IORD
楷,木心心日,DPPA
楸,木竹木火,DHDF
楹,木弓尸廿,DNST
楺,木弓竹木,DNHD
楻,木竹日土,DHAG
楼,木火木女,DFDV
楽,難戈人木,XIOD
楾,木竹日水,DHAE
楿,木竹木日,DHDA
榀,木口口口,DRRR
榁,木十一土,DJMG
概,木日戈山,DAIU
榃,木田田,DWW
榄,木中戈山,DLIU
榅,木日月廿,DABT
榆,木人一弓,DOMN
榇,木卜廿木,DYTD
榈,木中尸口,DLSR
榉,木火金手,DFCQ
榊,木戈火中,DIFL
榋,木尸一尸,DSMS
榌,木弓人人,DNOO
榍,木尸火月,DSFB
榎,木一山水,DMUE
榏,木廿金廿,DTCT
榐,木尸廿女,DSTV
榑,木戈月戈,DIBI
榒,木弓一一,DNMM
榓,木心竹廿,DPHT
榔,木戈戈中,DIIL
榕,木十金口,DJCR
榖,土木竹弓水,GDHNE
榗,木一戈日,DMIA
榘,人尸木,OSD
榙,木廿人口,DTOR
榚,木廿土火,DTGF
榛,木手大木,DQKD
榜,木卜月尸,DYBS
榝,木大木水,DKDE
榞,木一竹火,DMHF
榟,木十卜十,DJYJ
榠,木月日金,DBAC
榡,木手一火,DQMF
榢,木十一人,DJMO
榣,木月人山,DBOU
榤,木弓手木,DNQD
榥,木日火山,DAFU
榦,十十人木,JJOD
榧,木尸中卜,DSLY
榨,木十金尸,DJCS
榩,木卜心大,DYPK
榪,木尸手火,DSQF
榫,木人土十,DOGJ
榬,木土口女,DGRV
榭,木竹竹戈,DHHI
榮,火火月木,FFBD
榯,木日土戈,DAGI
榰,木十心日,DJPA
榱,木卜田女,DYWV
榲,木田人廿,DWOT
榳,木戈弓土,DING
榴,木竹竹田,DHHW
榵,木廿尸十,DTSJ
榶,木戈中口,DILR
榷,木人月土,DOBG
榸,木土田土,DGWG
榹,木竹卜山,DHYU
榺,月火手木,BFQD
榻,木日尸一,DASM
榼,木土戈廿,DGIT
榽,木月女大,DBVK
榾,木月月月,DBBB
榿,木山一廿,DUMT
槀,卜月木,YBD
槁,木卜口月,DYRB
槂,木弓木火,DNDF
槃,竹水木,HED
槄,木月竹難,DBHX
槅,木一口月,DMRB
槆,木廿心日,DTPA
槇,木心月金,DPBC
槈,木一女戈,DMVI
槉,木大人大,DKOK
槊,廿月木,TBD
構,木廿廿月,DTTB
槌,木卜竹口,DYHR
槍,木人戈口,DOIR
槎,木廿手一,DTQM
槏,木廿難金,DTXC
槐,木竹戈,DHI
槑,口木口木,RDRD
槒,木卜女田,DYVW
槓,木一月金,DMBC
槔,木竹日十,DHAJ
槕,木卜日木,DYAD
槖,土月一木,GBMD
槗,木大口月,DKRB
様,難木廿土水,XDTGE
槙,木十月金,DJBC
槚,木一田人,DMWO
槛,木中戈廿,DLIT
槜,難木人土尸,XDOGS
槝,木竹日山,DHAU
槞,難木卜廿山,XDYTU
槟,木十人金,DJOC
槠,木戈女日,DIVA
槡,木水水木,DEED
槢,木尸一日,DSMA
槣,木十大口,DJKR
槤,木卜十十,DYJJ
槥,木手十一,DQJM
槦,木戈中月,DILB
槧,十中木,JLD
槨,木卜木中,DYDL
槩,日山木,AUD
槪,木竹心山,DHPU
槫,木十戈戈,DJII
槬,木大尸人,DKSO
槭,木戈竹火,DIHF
槮,木戈戈竹,DIIH
槯,木山人土,DUOG
槰,木卜竹十,DYHJ
槱,木一田火,DMWF
槲,木弓月十,DNBJ
槳,女戈木,VID
槴,木竹尸山,DHSU
槵,木中中心,DLLP
槶,木田戈一,DWIM
槷,土戈木,GID
槸,木土土戈,DGGI
槹,木竹日十,DHAJ
槺,木戈中水,DILE
槻,木手人山,DQOU
槼,手山木,QUD
槽,木廿田日,DTWA
槾,木日田水,DAWE
槿,木廿中一,DTLM
樀,木卜金月,DYCB
樁,木手大難,DQKX
樂,女戈木,VID
樃,木戈戈月,DIIB
樄,木弓中田,DNLW
樅,木竹人人,DHOO
樆,木卜山月,DYUB
樇,木人中月,DOLB
樈,木卜廿山,DYTU
樉,木大大大,DKKK
樊,木木大,DDK
樋,木卜弓月,DYNB
樌,木田十金,DWJC
樍,木手一金,DQMC
樎,木十人日,DJOA
樏,木田女火,DWVF
樐,木卜田戈,DYWI
樑,木水戈木,DEID
樒,木十心山,DJPU
樓,木中田女,DLWV
樔,木女女木,DVVD
樕,木木中人,DDLO
樖,人一口口,OMRR
樗,木一月尸,DMBS
樘,木火月土,DFBG
標,木一田火,DMWF
樚,木戈難心,DIXP
樛,木尸一竹,DSMH
樜,木戈廿火,DITF
樝,木卜心一,DYPM
樞,木尸口口,DSRR
樟,木卜廿十,DYTJ
樠,木廿中月,DTLB
模,木廿日大,DTAK
樢,木竹日火,DHAF
樣,木廿土水,DTGE
樤,木人中木,DOLD
樥,木廿竹十,DTHJ
樦,木竹卜土,DHYG
樧,木大金水,DKCE
樨,木尸卜手,DSYQ
権,木人大土,DOKG
横,木廿中金,DTLC
樫,木尸水土,DSEG
樬,木竹田心,DHWP
樭,木廿金土,DTCG
樮,難難木一田,XXDMW
樯,木土金田,DGCW
樰,難木一月尸,XDMBS
樱,木月人女,DBOV
