㐀,廿一,TM
㕕,戈戈,II
㕖,戈戈戈木,IIID
㕗,廿人戈,TOI
㕘,戈戈戈火,IIIF
㕙,戈水弓山戈,IENUI
㕚,水戈戈,EII
㕛,水水,EE
㕜,中水,LE
㕝,十口水,JRE
㕞,尸月水,SBE
㕟,卜月水,YBE
㕠,戈土水,IGE
㕡,卜口水,YRE
㕢,卜金水,YCE
㕣,金口,CR
㕤,口大弓,RKN
㕥,口人,RO
㕦,口大,RK
㕧,口尸,RS
㕨,口竹弓戈,RHNI
㕩,口手十,RQJ
㕪,口中月山,RLBU
㕫,口卜竹尸,RYHS
㕬,口金戈,RCI
㕭,口竹大,RHK
㕮,口金大,RCK
㕯,人月口,OBR
㕰,口竹手山,RHQU
㕱,口戈大山,RIKU
㕲,口木,RD
㕳,口山大,RUK
㕴,口月竹弓,RBHN
㕵,口一土,RMG
㕶,口一木一,RMDM
㕷,口竹日,RHA
㕸,口卜廿,RYT
㕹,口戈大大,RIKK
㕺,口口一女尸,RRMVS
㕻,卜火口,YFR
㕼,口心女大,RPVK
㕽,口女戈人,RVIO
㕾,火口心,FRP
㕿,竹木口,HDR
㖀,口中手,RLQ
㖁,口大大戈,RKKI
㖂,口中田心,RLWP
㖃,口竹一口,RHMR
㖄,口戈中中,RILL
㖅,口戈竹一,RIHM
㖆,口廿田,RTW
㖇,口一月中,RMBL
㖈,十心口,JPR
㖉,口人卜一,ROYM
㖊,口尸一戈,RSMI
㖋,人中中心,OLLP
㖌,人弓口心,ONRP
㖍,卜十口心,YJRP
㖎,口心人中中,RPOLL
㖏,口日土,RAG
㖐,口口尸大,RRSK
㖑,口戈廿,RIT
㖒,口金弓竹,RCNH
㖓,口竹水十,RHEJ
㖔,口一大口,RMKR
㖕,口卜廿十,RYTJ
㖖,卜廿十口,YTJR
㖗,口山人弓,RUON
㖘,口一一女,RMMV
㖙,大口口心,KRRP
㖚,人戈口心,OIRP
㖛,十口口心,JRRP
㖜,卜口口心,YRRP
㖝,十木口心,JDRP
㖞,口口人月,RROB
㖟,口月月水,RBBE
㖠,口大一火,RKMF
㖡,口卜人大,RYOK
㖢,口戈卜心,RIYP
㖣,口卜廿口,RYTR
㖤,口山弓水,RUNE
㖥,口田竹木,RWHD
㖦,口木田,RDW
㖧,口竹心日,RHPA
㖨,口女弓水,RVNE
㖩,口尸十水,RSJE
㖪,口戈口一,RIRM
㖫,口土金水,RGCE
㖬,口竹難水,RHXE
㖭,口竹大心,RHKP
㖮,口人一月,ROMB
㖯,月口口心,BRRP
㖰,口心月一口,RPBMR
㖱,卜人大口,YOKR
㖲,女口口心,VRRP
㖳,水女口心,EVRP
㖴,口廿心竹,RTPH
㖵,口月一金,RBMC
㖶,口一田土,RMWG
㖷,口日一人,RAMO
㖸,口卜心一,RYPM
㖹,口金尸廿,RCST
㖺,口手大日,RQKA
㖻,口弓竹木,RNHD
㖼,口廿一木,RTMD
㖽,口一月金,RMBC
㖾,口口廿山,RRTU
㖿,口尸十中,RSJL
㗀,口山女戈,RUVI
㗁,口口口尸,RRRS
㗂,口火竹山,RFHU
㗃,口口心日,RRPA
㗄,口田中尸,RWLS
㗅,口十口月,RJRB
㗆,口廿中十,RTLJ
㗇,口口卜水,RRYE
㗈,口弓月尸,RNBS
㗉,手竹竹水口,QHHER
㗊,口口口口,RRRR
㗋,口弓一大,RNMK
㗌,口十一土,RJMG
㗍,口竹木日,RHDA
㗎,口大口木,RKRD
㗏,口一火一,RMFM
㗐,口大戈廿,RKIT
㗑,口竹手十,RHQJ
㗒,口卜口女,RYRV
㗓,口卜竹口,RYHR
㗔,口卜心大,RYPK
㗕,口廿廿月,RTTB
㗖,口月竹難,RBHX
㗗,口尸竹田十,RSHWJ
㗘,口戈月戈,RIBI
㗙,口心山山,RPUU
㗚,口一田木,RMWD
㗛,口竹竹大,RHHK
㗜,口卜女田,RYVW
㗝,口廿土火,RTGF
㗞,口一口水,RMRE
㗟,水土口心,EGRP
㗠,女口口心,VRRP
㗡,廿人尸心,TOSP
㗢,口竹土尸,RHGS
㗣,口大心月,RKPB
㗤,戈火口,IFR
㗥,口卜木中,RYDL
㗦,口尸十中,RSJL
㗧,口十金土,RJCG
㗨,尸水口,SER
㗩,口尸一日,RSMA
㗪,口卜心火,RYPF
㗫,口月人火,RBOF
㗬,火月口弓弓,FBRNN
㗭,口竹木心,RHDP
㗮,弓口戈中人,NRILO
㗯,十日口心,JARP
㗰,口竹人人,RHOO
㗱,口人土木,ROGD
㗲,口中土一,RLGM
㗳,口竹人口,RHOR
㗴,口日弓月,RANB
㗵,口火火人,RFFO
